Under 30,Married,Number of Dependents,Number of Referrals,Tenure in Months,Offer,Multiple Lines,Internet Service,Internet Type,Online Security,Online Backup,Device Protection Plan,Premium Tech Support,Streaming TV,Streaming Movies,Streaming Music,Unlimited Data,Contract,Paperless Billing,Payment Method,Total Charges,Total Revenue,Satisfaction Score,Churn Label
No,No,0,0,54,Offer B,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,One Year,No,Bank Withdrawal,4350.1,5002.42,1,Yes
No,No,0,0,2,Offer E,No,Yes,Fiber Optic,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,139.05,165.39000000000001,3,Yes
No,No,0,0,21,None,No,Yes,Cable,Yes,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,840.1,840.1,1,Yes
No,Yes,0,0,27,None,No,Yes,Cable,Yes,No,No,No,No,No,No,No,Month-to-Month,No,Credit Card,805.1,945.1,1,Yes
No,Yes,0,1,11,None,No,No,None,No,No,No,No,No,No,No,No,Month-to-Month,No,Mailed Check,214.75,539.69,1,Yes
No,Yes,0,2,55,Offer B,Yes,Yes,Fiber Optic,No,Yes,Yes,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,4874.7,7319.799999999999,1,Yes
No,No,0,0,3,Offer E,Yes,Yes,Fiber Optic,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,233.7,261.36,1,Yes
No,No,0,0,1,Offer E,No,Yes,Fiber Optic,No,No,Yes,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,75.3,130.39,2,Yes
No,No,0,0,5,Offer E,No,Yes,DSL,No,Yes,No,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,131.05,131.05,2,Yes
No,No,0,0,20,None,Yes,Yes,Fiber Optic,No,Yes,Yes,No,No,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,1782.4,2837.0,1,Yes
No,Yes,0,4,5,Offer E,Yes,Yes,Fiber Optic,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,334.8,563.6,1,Yes
No,Yes,0,2,27,None,No,Yes,Cable,Yes,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,1929.35,2118.89,1,Yes
No,No,0,0,4,None,Yes,Yes,Cable,No,No,Yes,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,346.2,539.6,1,Yes
No,No,0,0,1,None,Yes,Yes,Fiber Optic,No,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,85.7,131.51,1,Yes
No,Yes,0,3,65,Offer B,Yes,Yes,Fiber Optic,Yes,No,Yes,No,Yes,Yes,No,Yes,Month-to-Month,No,Bank Withdrawal,6786.4,7981.75,1,Yes
No,Yes,0,3,49,Offer B,Yes,Yes,Fiber Optic,No,Yes,No,No,No,Yes,No,Yes,Month-to-Month,No,Credit Card,4547.25,5670.33,2,Yes
No,Yes,0,1,43,Offer B,Yes,Yes,Fiber Optic,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,4687.9,5312.259999999999,2,Yes
No,Yes,0,0,56,Offer B,Yes,Yes,Fiber Optic,Yes,No,Yes,No,Yes,Yes,No,Yes,One Year,Yes,Bank Withdrawal,5794.65,8527.449999999999,1,Yes
No,Yes,0,7,20,None,Yes,Yes,Fiber Optic,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,1899.65,2005.8500000000001,1,Yes
No,No,0,0,2,None,Yes,Yes,Fiber Optic,No,Yes,No,No,No,Yes,Yes,Yes,Month-to-Month,No,Bank Withdrawal,161.5,256.44,2,Yes
No,No,0,0,8,None,No,No,None,No,No,No,No,No,No,No,No,Month-to-Month,No,Bank Withdrawal,164.3,387.9,2,Yes
No,No,0,0,52,None,No,Yes,DSL,No,Yes,No,No,Yes,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,2550.9,2580.9,2,Yes
No,No,0,0,2,None,No,Yes,DSL,Yes,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,91.1,179.07999999999998,2,Yes
No,Yes,0,1,33,None,Yes,Yes,Fiber Optic,No,No,No,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,3105.55,4022.29,3,Yes
No,No,0,0,30,None,Yes,Yes,Fiber Optic,Yes,Yes,Yes,No,No,No,No,Yes,Month-to-Month,No,Credit Card,2758.15,4134.55,1,Yes
No,No,0,0,20,None,Yes,Yes,Fiber Optic,No,No,Yes,No,Yes,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,1842.8,2851.6,3,Yes
No,No,0,0,46,None,Yes,Yes,Fiber Optic,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,4874.8,4983.820000000001,1,Yes
No,Yes,0,1,7,None,Yes,Yes,Cable,No,No,No,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,644.35,797.72,3,Yes
No,No,0,0,4,None,No,Yes,Fiber Optic,No,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,292.8,440.52,3,Yes
No,No,0,0,55,None,Yes,Yes,Fiber Optic,No,No,Yes,No,Yes,Yes,Yes,No,One Year,Yes,Bank Withdrawal,5509.3,7665.200000000001,3,Yes
No,Yes,0,1,20,None,No,Yes,Fiber Optic,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,1463.5,1570.9,1,Yes
No,No,0,0,9,None,Yes,Yes,Fiber Optic,No,No,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,918.6,1356.99,1,Yes
No,No,0,0,10,None,No,Yes,Fiber Optic,No,Yes,No,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,688.65,773.25,1,Yes
No,Yes,0,0,1,None,Yes,Yes,Fiber Optic,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,73.55,110.47,2,Yes
No,No,0,0,3,None,Yes,Yes,Fiber Optic,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,205.05,330.75,1,Yes
No,No,0,0,4,None,Yes,Yes,Cable,No,No,No,No,No,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,360.1,386.82000000000005,1,Yes
No,No,0,0,35,None,Yes,Yes,Fiber Optic,No,No,Yes,No,Yes,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,3395.8,4244.85,1,Yes
No,No,0,0,2,Offer E,No,Yes,DSL,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Credit Card,85.15,138.39000000000001,2,Yes
No,No,0,0,8,None,No,Yes,Fiber Optic,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Month-to-Month,No,Credit Card,832.35,924.9100000000001,1,Yes
No,Yes,0,2,44,None,No,Yes,Cable,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,1359.7,1359.7,1,Yes
No,Yes,0,1,62,None,Yes,Yes,Fiber Optic,No,Yes,Yes,No,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,6383.35,6824.17,1,Yes
No,Yes,0,1,33,None,Yes,Yes,Cable,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,2656.5,3751.77,2,Yes
No,No,0,0,4,Offer E,Yes,Yes,Fiber Optic,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,424.45,622.45,2,Yes
No,Yes,0,1,27,None,Yes,Yes,Fiber Optic,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,1893.95,2180.15,1,Yes
No,No,0,0,8,Offer E,Yes,Yes,Fiber Optic,No,No,Yes,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,819.4,1143.0,1,Yes
No,Yes,0,1,3,Offer E,No,Yes,Fiber Optic,Yes,No,No,Yes,Yes,No,No,Yes,Month-to-Month,Yes,Mailed Check,273.75,351.06,1,Yes
No,No,0,0,8,Offer E,No,Yes,Fiber Optic,No,No,Yes,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,729.95,1073.39,1,Yes
No,No,0,0,14,None,No,Yes,Fiber Optic,No,No,No,No,Yes,Yes,No,Yes,Month-to-Month,No,Credit Card,1266.1,1424.4399999999998,3,Yes
No,No,0,0,12,None,No,Yes,DSL,No,No,Yes,Yes,No,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,526.95,526.95,1,Yes
No,No,0,0,13,None,No,Yes,Fiber Optic,No,No,Yes,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,940.35,1465.1599999999999,1,Yes
No,No,0,0,11,None,No,Yes,Fiber Optic,No,No,No,No,Yes,Yes,No,Yes,Month-to-Month,No,Bank Withdrawal,1047.7,1091.26,2,Yes
No,Yes,0,1,17,None,Yes,Yes,Cable,No,No,Yes,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Credit Card,1622.45,2101.51,3,Yes
No,Yes,0,1,39,None,Yes,Yes,Fiber Optic,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,4284.8,5581.55,3,Yes
No,Yes,0,5,11,None,Yes,Yes,Fiber Optic,No,No,Yes,Yes,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,1133.65,1323.4,3,Yes
No,Yes,0,1,3,Offer E,No,Yes,Fiber Optic,No,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,224.05,233.92000000000002,2,Yes
No,No,0,0,21,None,No,Yes,DSL,No,No,Yes,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,1236.15,1963.17,1,Yes
No,No,0,0,16,None,Yes,Yes,Fiber Optic,No,No,No,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,1529.2,2149.2,2,Yes
No,No,0,0,46,None,No,Yes,Fiber Optic,No,Yes,No,No,Yes,Yes,No,Yes,One Year,No,Credit Card,4424.2,4706.18,2,Yes
No,Yes,0,1,68,Offer A,Yes,Yes,Fiber Optic,No,Yes,No,No,No,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,6127.6,7768.4400000000005,1,Yes
No,Yes,0,1,7,Offer E,No,Yes,Fiber Optic,No,No,No,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,676.7,772.11,2,Yes
No,Yes,0,1,15,None,Yes,Yes,Cable,No,No,No,No,No,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,1345.55,2024.3,1,Yes
No,No,0,0,16,None,Yes,Yes,Fiber Optic,No,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,1281.0,1587.88,3,Yes
No,No,0,0,1,Offer E,No,Yes,Cable,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,69.25,98.93,2,Yes
No,No,0,0,1,None,No,Yes,Cable,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,25.2,25.2,1,Yes
No,No,0,0,13,None,Yes,Yes,Fiber Optic,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,1290.0,1537.39,1,Yes
No,No,0,0,1,None,No,Yes,Fiber Optic,No,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,79.2,99.26,3,Yes
No,Yes,0,1,34,None,Yes,Yes,Fiber Optic,No,Yes,Yes,No,No,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,3217.55,3315.4700000000003,1,Yes
No,No,0,0,4,None,No,Yes,Fiber Optic,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Credit Card,442.85,493.57000000000005,1,Yes
No,No,0,0,2,None,Yes,Yes,Fiber Optic,No,No,No,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,170.85,209.39,3,Yes
No,No,0,0,9,None,Yes,Yes,Fiber Optic,No,No,No,No,No,Yes,No,Yes,Month-to-Month,Yes,Credit Card,732.5,1009.7,2,Yes
No,No,0,0,5,None,No,Yes,Fiber Optic,No,No,Yes,No,No,No,No,Yes,Month-to-Month,Yes,Credit Card,349.65,561.3,1,Yes
No,No,0,0,22,Offer D,Yes,Yes,Fiber Optic,No,No,No,No,Yes,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,2082.95,3066.91,1,Yes
No,No,0,0,19,Offer D,Yes,Yes,Fiber Optic,No,Yes,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,1775.8,2535.23,1,Yes
No,No,0,0,15,Offer D,Yes,Yes,Fiber Optic,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,1146.65,1842.3500000000001,3,Yes
No,No,0,0,1,None,Yes,Yes,Fiber Optic,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,74.7,86.04,1,Yes
No,No,0,0,1,None,No,Yes,DSL,No,No,No,No,No,No,No,No,Month-to-Month,Yes,Mailed Check,25.8,45.8,1,Yes
No,No,0,0,10,Offer D,Yes,Yes,Fiber Optic,No,No,No,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,898.35,1312.05,1,Yes
No,No,0,0,3,None,No,Yes,DSL,No,No,No,No,No,No,No,No,Month-to-Month,No,Bank Withdrawal,127.1,227.51999999999998,3,Yes
No,Yes,0,1,12,Offer D,No,Yes,Fiber Optic,No,No,No,No,No,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,950.2,1033.8400000000001,2,Yes
No,No,0,0,2,None,No,Yes,Fiber Optic,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,165.4,178.42000000000002,2,Yes
No,No,0,0,1,None,Yes,Yes,Fiber Optic,No,No,Yes,No,Yes,No,No,No,Month-to-Month,Yes,Bank Withdrawal,88.8,148.4,1,Yes
No,Yes,0,1,13,Offer D,No,Yes,Fiber Optic,No,Yes,No,Yes,No,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,1169.35,1188.4599999999998,1,Yes
No,No,0,0,23,Offer D,No,Yes,Fiber Optic,No,Yes,No,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,2293.6,3010.51,2,Yes
No,Yes,0,1,17,Offer D,Yes,Yes,Fiber Optic,Yes,No,Yes,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,1463.45,2089.3900000000003,1,Yes
No,No,0,0,17,None,No,Yes,DSL,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,770.6,1466.4099999999999,1,Yes
No,No,0,0,42,None,Yes,Yes,Fiber Optic,No,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,3541.35,3941.6099999999997,2,Yes
No,No,0,0,1,None,No,Yes,Fiber Optic,No,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,79.1,121.39999999999999,3,Yes
No,No,0,0,1,Offer E,No,Yes,Cable,No,No,Yes,No,No,No,No,Yes,Month-to-Month,Yes,Mailed Check,50.15,89.93,2,Yes
No,No,0,0,1,Offer E,No,Yes,Fiber Optic,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,69.6,104.10999999999999,1,Yes
No,No,0,0,41,None,Yes,Yes,Fiber Optic,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,4689.5,5835.45,1,Yes
No,No,0,0,13,None,No,Yes,Fiber Optic,No,No,No,No,Yes,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,1201.15,1650.7400000000002,1,Yes
No,Yes,0,1,32,None,Yes,Yes,Fiber Optic,No,No,No,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,2642.05,2784.16,1,Yes
No,Yes,0,1,32,None,Yes,Yes,Fiber Optic,No,No,No,No,No,Yes,Yes,Yes,Month-to-Month,No,Bank Withdrawal,2661.1,4248.3,1,Yes
No,Yes,0,1,57,None,No,Yes,Cable,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,2572.95,2560.8799999999997,2,Yes
No,No,0,0,1,Offer E,No,Yes,Cable,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,45.1,60.38,2,Yes
No,No,0,0,1,Offer E,No,Yes,DSL,No,Yes,Yes,No,No,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,43.3,43.3,3,Yes
No,No,0,0,38,None,No,Yes,DSL,Yes,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Credit Card,2250.65,3242.4500000000003,1,Yes
No,Yes,0,1,35,None,Yes,Yes,Cable,Yes,Yes,No,Yes,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,3653.35,4212.65,1,Yes
No,No,0,0,1,Offer E,No,Yes,DSL,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Credit Card,45.1,60.34,1,Yes
No,Yes,0,1,30,None,No,Yes,DSL,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,1527.5,1667.0,3,Yes
No,No,0,0,5,Offer E,No,Yes,Fiber Optic,No,No,No,No,No,Yes,No,Yes,Month-to-Month,No,Bank Withdrawal,378.4,439.75,3,Yes
No,No,0,0,1,Offer E,Yes,Yes,Fiber Optic,No,No,No,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,93.55,123.72,1,Yes
No,Yes,0,1,58,None,Yes,Yes,Fiber Optic,Yes,Yes,Yes,No,Yes,Yes,No,Yes,One Year,Yes,Bank Withdrawal,6287.25,9151.29,1,Yes
No,No,0,0,16,None,Yes,Yes,Fiber Optic,No,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,1350.15,1630.3100000000002,2,Yes
No,No,0,0,1,Offer E,No,Yes,Fiber Optic,No,No,No,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,69.95,102.45,2,Yes
No,Yes,0,1,5,Offer E,Yes,Yes,Fiber Optic,No,Yes,No,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,371.65,577.41,1,Yes
No,No,0,0,21,None,No,Yes,Fiber Optic,No,No,Yes,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,2030.3,2907.77,1,Yes
No,No,0,0,43,None,No,Yes,Fiber Optic,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Month-to-Month,Yes,Credit Card,4600.7,5969.389999999999,1,Yes
No,Yes,0,1,32,None,Yes,Yes,Fiber Optic,No,No,No,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,2931.0,3992.8,3,Yes
No,No,0,0,1,Offer E,No,Yes,Fiber Optic,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,70.55,88.75,3,Yes
No,Yes,0,1,29,None,Yes,Yes,Fiber Optic,No,No,Yes,No,Yes,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,3004.15,3754.22,3,Yes
No,Yes,0,1,13,None,Yes,Yes,Cable,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,1233.65,1597.66,1,Yes
No,Yes,0,1,7,None,Yes,Yes,Fiber Optic,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Credit Card,527.9,557.88,3,Yes
No,No,0,0,2,None,Yes,Yes,Fiber Optic,No,No,Yes,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,179.25,222.39,1,Yes
No,No,0,0,1,None,No,Yes,Fiber Optic,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,91.3,134.91,3,Yes
No,Yes,0,1,7,None,No,Yes,Fiber Optic,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Credit Card,467.55,559.67,2,Yes
No,Yes,0,1,57,None,Yes,Yes,Fiber Optic,No,Yes,Yes,No,No,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,5427.05,8259.33,2,Yes
No,Yes,0,4,1,None,Yes,Yes,Fiber Optic,No,No,Yes,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,100.8,118.15,1,Yes
No,Yes,0,2,17,None,No,Yes,Fiber Optic,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,1233.4,1251.25,1,Yes
No,No,0,0,3,None,No,Yes,Fiber Optic,No,No,Yes,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,220.95,276.09,2,Yes
No,Yes,0,1,66,Offer A,Yes,Yes,Fiber Optic,No,No,Yes,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Credit Card,6822.15,8726.91,1,Yes
No,Yes,0,1,69,Offer A,Yes,Yes,Fiber Optic,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Two Year,Yes,Bank Withdrawal,7318.2,10690.92,3,Yes
No,Yes,0,2,15,None,Yes,Yes,Fiber Optic,No,No,Yes,Yes,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,1258.3,2030.25,3,Yes
No,No,0,0,56,None,Yes,Yes,Fiber Optic,No,Yes,Yes,No,Yes,Yes,No,Yes,One Year,Yes,Bank Withdrawal,5510.65,7447.129999999999,3,Yes
No,No,0,0,21,None,Yes,Yes,Fiber Optic,No,No,No,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,1973.75,2417.9,2,Yes
No,No,0,0,1,None,No,Yes,Fiber Optic,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,70.15,118.12,2,Yes
No,Yes,0,3,32,None,Yes,Yes,Fiber Optic,No,Yes,Yes,No,Yes,Yes,No,Yes,Month-to-Month,No,Bank Withdrawal,3520.75,3774.19,2,Yes
No,Yes,0,1,40,None,Yes,Yes,Fiber Optic,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Credit Card,3640.45,5620.45,1,Yes
No,No,0,0,2,None,No,Yes,DSL,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Credit Card,47.5,47.5,3,Yes
No,No,0,0,7,None,Yes,Yes,Fiber Optic,No,No,No,No,Yes,No,No,No,Month-to-Month,Yes,Bank Withdrawal,546.95,823.52,3,Yes
No,No,0,0,31,None,Yes,Yes,Fiber Optic,No,Yes,No,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,3186.65,4406.81,3,Yes
No,No,0,0,14,None,Yes,Yes,Fiber Optic,No,Yes,Yes,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,1531.4,1950.8400000000001,1,Yes
No,No,0,0,15,None,Yes,Yes,Fiber Optic,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Credit Card,1133.9,1443.5400000000002,1,Yes
No,Yes,0,0,59,None,Yes,Yes,Fiber Optic,No,No,No,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,5574.75,6202.639999999999,2,Yes
No,Yes,0,3,46,None,Yes,Yes,Fiber Optic,Yes,Yes,Yes,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,4541.2,6753.619999999999,1,Yes
No,No,0,0,25,None,Yes,Yes,Fiber Optic,No,Yes,No,No,No,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,2187.55,3073.2200000000003,3,Yes
