Regency,Sub_District,Village,Latitude,Longitude,Number_College_Venues,Number_Office_Venues,Number_Coffee_Venues,Cluster_Label
Sleman,Seyegan,Margomulyo,-7.71811375,110.3152180534239,1,0,0,0
Sleman,Sleman,Caturharjo,-7.688233,110.3257783058354,1,0,0,0
Sleman,Sleman,Pandowoharjo,-7.69831385,110.36987562628315,3,0,0,0
Sleman,Sleman,Tridadi,-7.7139519,110.36051940000002,3,6,6,0
Sleman,Sleman,Triharjo,-7.6945594,110.3502065,5,4,4,0
Sleman,Sleman,Trimulyo,-7.68120925,110.35944667385479,0,0,1,0
Sleman,Tempel,Banyurejo,-7.69810745,110.28861828763134,0,0,1,0
Sleman,Tempel,Lumbungrejo,-7.647083099999999,110.32545775482309,3,0,5,0
Sleman,Tempel,Margorejo,-7.6594994000000005,110.33191377806202,1,0,2,0
Sleman,Tempel,Merdikorejo,-7.63608625,110.34476116670248,0,0,0,0
Sleman,Tempel,Mororejo,-7.6693605,110.32051626924766,1,0,0,0
Sleman,Tempel,Pondokrejo,-7.6640245500000015,110.30655007318035,2,0,0,0
Sleman,Tempel,Sumberejo,-7.67500355,110.30560020000001,0,0,0,0
Sleman,Tempel,Tambakrejo,-7.68496605,110.30321941213981,0,0,0,0
Sleman,Turi,Bangunkerto,-7.644024900000001,110.3573943940113,0,0,1,0
Sleman,Turi,Donokerto,-7.6597927,110.3707183,0,0,2,0
Sleman,Turi,Girikerto,-7.60950435,110.40030643422837,0,0,0,0
Sleman,Turi,Wonokerto,-7.6148047,110.37726110312886,0,0,0,0
Kota Yogyakarta,Kotagede,Purbayan,-7.82675905,110.40265556395373,5,3,8,0
Kota Yogyakarta,Kotagede,Rejowinangun,-7.8114664,110.39829261749298,5,8,3,0
Kota Yogyakarta,Umbulharjo,Sorosutan,-7.822414050000001,110.38092502639714,8,3,2,0
Kota Yogyakarta,Umbulharjo,Giwangan,-7.8310545,110.38951362026172,3,0,4,0
Kota Yogyakarta,Wirobrajan,Patangpuluhan,-7.809789500000001,110.34893823400157,8,5,6,0
