Regency,Sub_District,Village,Latitude,Longitude,Number_College_Venues,Number_Office_Venues,Number_Coffee_Venues,Cluster_Label
Sleman,Prambanan,Wukirharjo,-7.8142312,110.51819832251056,0,0,0,0
Sleman,Seyegan,Margoagung,-7.705851450000001,110.30340380066312,3,0,1,0
Sleman,Seyegan,Margodadi,-7.73338605,110.2940325129801,0,0,1,0
Sleman,Seyegan,Margokaton,-7.7165055,110.296628,1,0,2,0
Sleman,Seyegan,Margoluwih,-7.75283635,110.30093768502738,0,0,0,0
Sleman,Seyegan,Margomulyo,-7.7181137500000006,110.3152180534239,1,0,0,0
Sleman,Sleman,Caturharjo,-7.688233,110.32577830583541,1,0,0,0
Sleman,Sleman,Pandowoharjo,-7.69831385,110.36987562628315,3,0,0,0
Sleman,Sleman,Tridadi,-7.7139519,110.3605194,3,6,6,0
Sleman,Sleman,Triharjo,-7.6945594,110.3502065,5,4,4,0
Sleman,Sleman,Trimulyo,-7.68120925,110.35944667385479,0,0,1,0
Sleman,Tempel,Banyurejo,-7.69810745,110.28861828763134,0,0,1,0
Sleman,Tempel,Lumbungrejo,-7.6470831,110.3254577548231,3,0,5,0
Sleman,Tempel,Margorejo,-7.6594994,110.33191377806202,1,0,2,0
Sleman,Tempel,Merdikorejo,-7.63608625,110.34476116670247,0,0,0,0
Sleman,Tempel,Mororejo,-7.6693605,110.32051626924766,1,0,0,0
Sleman,Tempel,Pondokrejo,-7.664024550000001,110.30655007318035,2,0,0,0
Sleman,Tempel,Sumberejo,-7.67500355,110.3056002,0,0,0,0
Sleman,Tempel,Tambakrejo,-7.68496605,110.30321941213982,0,0,0,0
Sleman,Turi,Bangunkerto,-7.6440249,110.35739439401127,0,0,1,0
Sleman,Turi,Donokerto,-7.6597927,110.3707183,0,0,2,0
Sleman,Turi,Girikerto,-7.60950435,110.40030643422836,0,0,0,0
Sleman,Turi,Wonokerto,-7.6148047000000005,110.37726110312886,0,0,0,0
Kota Yogyakarta,Danurejan,Bausasran,-7.79936195,110.37318062143757,15,27,9,1
Kota Yogyakarta,Danurejan,Tegalpanggung,-7.7934268,110.37113524966487,13,26,17,1
Kota Yogyakarta,Danurejan,Suryatmajan,-7.79283925,110.36734046400403,13,34,44,2
Kota Yogyakarta,Gedongtengen,Pringgokusuman,-7.792505,110.3586343930474,8,16,17,1
Kota Yogyakarta,Gedongtengen,Sosromenduran,-7.78933775,110.36337628399158,12,33,46,2
Kota Yogyakarta,Gondokusuman,Baciro,-7.7934704,110.38297251861113,27,18,4,1
Kota Yogyakarta,Gondokusuman,Demangan,-7.78487125,110.39002924673885,34,31,35,2
Kota Yogyakarta,Gondokusuman,Klitren,-7.783821,110.38338983475654,28,28,29,2
Kota Yogyakarta,Gondokusuman,Kotabaru,-7.7868301,110.37343258872657,33,42,31,2
Kota Yogyakarta,Gondokusuman,Terban,-7.7792947,110.37554368700373,18,50,50,2
Kota Yogyakarta,Gondomanan,Ngupasan,-7.8046830499999995,110.37124783457662,16,18,12,1
Kota Yogyakarta,Gondomanan,Prawirodirjan,-7.80084825,110.36645776489127,17,24,21,1
Kota Yogyakarta,Jetis,Bumijo,-7.7848352,110.35947665812799,18,27,15,1
Kota Yogyakarta,Jetis,Cokrodiningratan,-7.7784096,110.36792337904586,17,26,34,2
Kota Yogyakarta,Jetis,Gowongan,-7.7859455,110.36591546774892,22,42,50,2
Kota Yogyakarta,Kotagede,Prenggan,-7.8207434,110.39741934169618,9,6,15,1
Kota Yogyakarta,Kotagede,Purbayan,-7.82675905,110.40265556395372,5,3,8,0
Kota Yogyakarta,Kotagede,Rejowinangun,-7.8114664000000005,110.39829261749298,5,8,3,0
Kota Yogyakarta,Kraton,Panembahan,-7.8086288,110.36618209490265,12,15,17,1
Kota Yogyakarta,Kraton,Kadipaten,-7.80783795,110.35918707346804,17,10,13,1
Kota Yogyakarta,Kraton,Patehan,-7.81090445,110.36070981683204,17,10,9,1
Kota Yogyakarta,Mantrijeron,Gedongkiwo,-7.8171586,110.35401013561173,16,3,9,1
Kota Yogyakarta,Mantrijeron,Suryodiningratan,-7.81975655,110.35914062029462,14,5,19,1
Kota Yogyakarta,Mantrijeron,Mantrijeron,-7.81806685,110.3597311883563,14,6,20,1
Kota Yogyakarta,Mergangsan,Brontokusuman,-7.8216755,110.37207746821993,9,9,18,1
Kota Yogyakarta,Mergangsan,Keparakan,-7.81190505,110.3713591628831,39,17,13,1
Kota Yogyakarta,Mergangsan,Wirogunan,-7.8088261,110.37630602833245,41,7,9,1
Kota Yogyakarta,Ngampilan,Ngampilan,-7.80218335,110.35761519601635,27,10,5,1
Kota Yogyakarta,Ngampilan,Notoprajan,-7.8047679500000005,110.35499736334282,30,9,6,1
Kota Yogyakarta,Pakualaman,Gunungketur,-7.7992594,110.37863660827418,27,25,13,1
Kota Yogyakarta,Pakualaman,Purwokinanti,-7.79298975,110.37544999654662,6,23,12,1
Kota Yogyakarta,Tegalrejo,Bener,-7.776131449999999,110.35239335267944,18,5,4,1
Kota Yogyakarta,Tegalrejo,Karangwaru,-7.77426865,110.3641123339658,28,12,11,1
Kota Yogyakarta,Tegalrejo,Kricak,-7.773404,110.35693279725737,13,8,5,1
Kota Yogyakarta,Tegalrejo,Tegalrejo,-7.78045495,110.355073023502,24,14,2,1
Kota Yogyakarta,Umbulharjo,Pandeyan,-7.81831055,110.38840805560142,14,7,9,1
Kota Yogyakarta,Umbulharjo,Sorosutan,-7.822414050000001,110.38092502639712,8,3,2,0
Kota Yogyakarta,Umbulharjo,Giwangan,-7.8310545000000005,110.38951362026171,3,0,4,0
Kota Yogyakarta,Umbulharjo,Warungboto,-7.80821305,110.39020589021263,26,7,15,1
Kota Yogyakarta,Umbulharjo,Muja muju,-7.7986723,110.3927105636262,29,30,3,1
Kota Yogyakarta,Umbulharjo,Semaki,-7.797846099999999,110.38373718275909,25,28,5,1
Kota Yogyakarta,Umbulharjo,Tahunan,-7.8067426,110.38317148351118,13,9,7,1
Kota Yogyakarta,Wirobrajan,Pakuncen,-7.79696465,110.351130831231,20,9,3,1
Kota Yogyakarta,Wirobrajan,Patangpuluhan,-7.8097895,110.34893823400157,8,5,6,0
Kota Yogyakarta,Wirobrajan,Wirobrajan,-7.802623799999999,110.35044668863907,22,4,3,1
